Chủ đề,Tag,Ques,Ans,Require
,inventor,"Ai là người phát minh ra dòng điện xoay chiều?
Dòng điện xoay chiều được phát minh bởi ai?
Điện xoay chiều là phát minh của ai?
Phát minh ra dòng điện xoay chiều là ai?",Nikola Tesla là người đã phát minh ra dòng điện xoay chiều. Thật là một phát minh vĩ đại bạn nhỉ.,
,actor,"Diễn viên nổi tiếng nhất thế giới 2022 tên gì?
Diễn viên nổi tiếng nhất thế giới 2022 tên là gì?
Năm 2022 diễn viên nổi tiếng nhất thế giới là ai?
Năm 2022 diễn viên nổi tiếng nhất thế giới tên gì?",Theo Candy biết là diễn viên Thành Long.,
,oscar,"Phim hoạt hình đoạt giải Oscar năm 2001 là gì?
Phim hoạt hình của Nhật Bản đoạt giải Oscar năm 2001 là gì?
Phim hoạt hình đoạt giải Oscar của Nhật Bản năm 2001 là gì?
Phim hoạt hình đoạt giải Oscar năm 2001 của Nhật Bản là gì?",Là phim Vùng đất linh hồn – Spirited Away,
,cartoon movie,"Phim hoạt hình thành công nhất thế kỷ 20 là gì?
Bộ phim hoạt hình huyền thoại vào thế kỉ 20 là gì?
Thế kỷ 20 có phim hoạt hình nào nổi bật là gì?
Phim hoạt hình được cho là nổi bật vào thế kỉ 20 là gì?",Tom and Jerry,
,viet nam movie,"Bộ phim hay nhất Việt Nam hiện nay tên gì?
Bộ phim Việt Nam hay nhất hiện nay là gì?
Bộ phim Việt Nam hay nhất hiện nay tên gì?
Tên bộ phim Việt Nam hay nhất hiện nay là gì?",Theo nhiều người bình chọn thì phim hay nhất Việt Nam hiện nay là Về nhà đi con.,
Truyện Tranh,good manga,"Bộ truyện hay nhất hiện tại tên gì?
Hiện tại bộ truyện hay nhất tên gì?
Bộ truyện được xem nhiều nhất hiện nay là gì?",Candy nghe nói bộ truyện hay nhất hiện nay là One Piece.,
,one piece author,"Tác giả của bộ truyện “One Piece” là ai?
Tác giả của bộ truyện “One Piece” tên là gì?
Tác giả bộ truyện nổi tiếng thế giới “One Piece” là ai?
Tác giả bộ truyện nổi tiếng thế giới “One Piece” tên gì?",Theo Candy biết tác giả của One Piece là Oda Eiichiro.,
,one piece,"Năm nào “One Piece” được ra mắt?
Năm nào truyện “One Piece” được ra mắt?
“One Piece” được ra mắt khi nào?
Bộ truyện “One Piece” ra mắt vào năm nào?",Bộ phim One Piece được ra mắt vào năm 1997.,
,manga,"Trẻ em thích đọc truyện gì nhất?
Truyện trẻ em thích nhất tên gì?
Bộ truyện nào trẻ em đọc nhiều nhất?
Bộ truyện trẻ em đọc nhiều nhất?",Trẻ em thích đọc truyện Doraemon nhất.,
,doraemon author,"Tác giả của truyện “Doraemon” tên gì?
“Doraemon” được ai sáng tác?
Ai là người sáng tác bộ truyện “Doraemon”?
Bộ truyện “Doraemon” được sáng tác bởi ai?",Tác giả bộ truyện Doraemon là Fujiko Fujio.,
làm đẹp,vitamin,"Nên dùng loại vitamin nào để giúp trắng da?
Vitamin nào có thể giúp da trắng sáng?
Chất chứa trong mỹ phẩm giúp giảm tàn nhang?
Chất giúp chống oxy hóa da?
Bị sạm da nên dùng loại mỹ phẩm có chứa thành phần nào?
Thành phần nào trong mỹ phẩm giúp da trở nên trắng sáng?
Da bị tàn nhan tối màu nên xài mỹ phẩm có chứa thành phần gì?",Vitamin C,
,skin,"Sản phẩm giúp trị mụn da là gì?
Da bị mụn thì nên xài sản phẩm nào?
Thành phần chăm sóc da ngăn ngừa mụn là gì?
Phải sử dụng sản phẩm gì để ngừa mụn?
Sản phẩm giúp ngăn ngừa mụn cho các loại da là gì?
Sản phẩm làm sạch da và ngăn ngừa mụn là gì?
Sản phẩm giúp da sạch sâu là gì?",AHA và BHA,
,Skin care,"Làm sao để cải thiện tình trạng khô da?
Khi khô da thì cần làm gì?
Khi thời tiết lạnh thì làm gì để không nứt da?
Da khô bong tróc thì cần làm gì?
Làm gì để tránh tình trạng khô da?",Cấp ẩm cho da,
,hair,"Cách để có tóc đẹp là gì?
Cách để tóc được mượt mà là gì?
Làm thế nào để cải thiện tóc?
Cần làm để có mái tóc đẹp hơn?
Cách để có tóc khoẻ mạnh là gì?",Mát xa da đầu thường xuyên và dưỡng ẩm cho tóc.,
,famous hair,"Mẫu tóc hot nhất hiện nay là gì?
Các mẫu tóc đang hot trend là gì?
Các kiểu tóc đang được ưa chuộng là gì?
Các kiểu tóc đang được yêu thích nhất là gì?","Tóc uốn cụp mái bằng.
Tóc dài mái lưa thưa.
Tóc nữ ngắn uốn xoăn.
Tóc nữ xoăn sóng lượn lọn to.",
,hair cut,"Nên cắt tóc vào ngày nào?
Ngày nào nên và không nên cắt tóc?
Ngày hợp phong thủy để cắt tóc là ngày nào?
Cắt tóc vào ngày nào để may mắn?
Những ngày phù hợp để cắt tóc là ngày gì?","Nên cắt tóc vào mùng 3, mùng 5, mùng 7 và hạn chế cắt tóc vào mùng 1, mùng 2, mùng 4 để gặp nhiều may mắn và tránh xui xẻo.",
Âm nhạc,quoc ca,"Ai là người sáng tác ra quốc ca Việt Nam?
Tiến quân ca do ai sáng tác?
Nhạc sĩ nào sáng tác ra quốc ca Việt Nam?",Tiến quân ca do nhạc sĩ Văn Cao sáng tác.,
,rap,"Bài hát Mang Tiền Về Cho Mẹ của ai?
Bài hát Mang Tiền Về Cho Mẹ của ai?
Rapper nào sáng tác bài Mang Tiền Về Cho Mẹ?",Bài hát Mang Tiền Về Cho Mẹ của Đen Vâu và do anh sáng tác.,
,app music,"Ứng dụng mọi người hay nghe nhạc là gì?
Mọi người hay nghe nhạc ở đâu?
Ứng dụng dùng để nghe nhạc?
Bạn hay nghe nhạc trên ứng dụng nào?",Tôi thấy mọi người thường nghe nhạc trên ứng dụng YouTube.,
,sing,"Bạn hát được không?
Bạn hát hay không?
Bạn hát cho tôi nghe được không?
Bạn hay hát thể loại nào?
Bạn hát được nhạc việt không?
Bạn biết hát chứ?","Xin lỗi tôi vẫn chưa biết hát, nhưng tôi có thể giúp bạn mở nhạc.",
Công việc,occupation,"Kiếm việc làm trên trang website nào là tốt nhất?
Các trang mạng tìm kiếm việc làm uy tín là gì?
Kiếm việc trên đâu thì ít bị lừa đảo?
Nơi kiếm việc làm tốt nhất hiện nay là gì?","Nên kiếm việc làm trên các trang như Top CV, YBox, VLance, Jobstreet là uy tín nhé.",
,skills,"Những kỹ năng cần thiết khi làm văn phòng là gì?
Những kỹ năng cần thiết khi đi làm là gì?
Các sếp thích nhân nhiên có kỹ năng làm việc như thế nào?
Kỹ năng làm việc văn phòng nên trang bị là gì?","Hãy học cách giao tiếp hiệu quả vì giao tiếp đóng vai trò quan trọng trong kinh doanh và nhiều khi mang tính quyết định của thành công, luôn sáng tạo trong công việc, làm việc có tổ chức, biết lắng nghe và tiếp thu học hỏi.",
,work for job,"Có nên làm trái ngành không?
Được tuyển vào làm trái ngành thì có nên làm luôn không?
Có thể làm trái ngành không?
Làm trái ngành thì có ổn không?","Làm việc đúng chuyên môn cũng được, trái ngành cũng không quan trọng, miễn sao bạn luôn thấy thoải mái và vui vẻ với công việc mình đang làm, không bị áp lực hay gò bó bản thân, có thể kiếm được tiền để lo cho bản thân, gia đình và có cơ hội phát triển trong tương lai là được.",
Thể thao,football,"Bóng đá mười một người bao nhiêu trọng tài?
Sân đá mười một người có bao nhiêu trọng tài?
Sân mười một người gồm mấy trọng tài?
Có bao nhiêu trọng tài trong sân mười một người?",Gồm một trọng tài chính và hai trọng tài biên.,
,sport,"Môn thể thao thu hút người xem nhiều nhất?
Bóng đá được xem là môn thể thao gì?
Thể thao vua là môn thể thao nào?
Thể thao nào được xem là thể thao vua?
Môn thể thao được xem là môn thể thao vua?",Bóng đá được xem là môn thể thao vua.,
,basketball,"Những dạng của bóng rổ?
Bóng rổ chơi mấy người?
Quy tắc thành viên trong một trận bóng rổ?
Các dạng của bóng rổ?
Bóng rổ được chơi theo mấy dạng?",Bóng rổ được chơi theo hai dạng gồm ba nhân ba và năm nhân năm.,
,sportswoman,"Tên kình ngư nữ số một Việt Nam?
Cựu kình ngư nữ Việt Nam?
Kình ngư nữ Việt Nam?
Nữ Kình ngư xuất sắc của Việt Nam?
Kình ngư số một Việt Nam?
Nữ vận động viên bơi lội xuất sắc của Việt Nam?
Kình ngư nữ đạt nhiều huy chương nhất?",Nữ kình ngư số của Việt Nam là Nguyễn Thị Ánh Viên.,
,swimming,"Kình ngư số một Việt Nam hiện tại?
Nam kình ngư số một Việt Nam?
Nam vận động viên bơi lội xuất sắc của đội tuyển Việt Nam?
Kình ngư của Việt Nam?
Kình ngư đạt nhiều huy chương nhất hiện tại?
Ai là Kình Ngư số một của Việt Nam?",Nam kình Ngư số một của Việt Nam là Nguyễn Huy Hoàng.,
,stadium,"Sân vận động rộng nhất Việt Nam?
Việt Nam có sân vận động nào rộng nhất?
Sân vận động rộng nhất ở Việt Nam?
Việt Nam có sân vận động nào lớn nhất?
Sân bóng đá lớn nhất Việt Nam?",Sân vận động Mỹ Đình là sân vận động lớn nhất Việt Nam.,
Lịch sử,tran quoc toan,"Người bóp nát quả cam là ai?
Ai đã từng bóp nát quả cam?
Người bóp nát quả cam tên gì?
Người đã từng bóp nát quả cam?
Anh hùng nào đã từng bóp nát quả cam?
Trần Quốc Toản có phải là người bóp nát quả cảm không?",Trần Quốc Toản là người đã bóp nát quả cam,
,politics,"Người sáng lập ra Đảng Cộng Sản Việt Nam?
Chủ tịch Hồ Chí Minh có phải là người sáng lập ra Đảng Cộng Sản Việt Nam?
Ai là người lập ra Đảng Cộng Sản?
Tên của sáng lập ra Đảng Cộng Sản Việt Nam?
Người sáng lập ra Đảng Cộng Sản có phải là Bác Hồ?",Chủ tịch Hồ Chí Minh là người sáng lập ra Đảng Cộng Sản Việt Nam.,
,war america,"Trận chiến nào mà quân ta giành thắng lợi buộc Mỹ phải ký hiệp định?
Tên trận chiến của ta mà làm Mỹ phải ký hiệp định và rút về nước?
Tên của thắng lợi mang tên lịch sử trên không?
Trận chiến mười hai ngày đêm diễn ra ở đâu?
Chiến thắng mười hai ngày đêm có tên là gì?
Chiến thắng nào buộc Mỹ phải ký hiệp định Pari?",Chiến thắng Điện Biên Phủ trên không.,
,dien bien phu,"Trận chiến Điện Biên Phủ trên không diễn ra trong bao nhiêu ngày?
Điện Biên Phủ trên không bao nhiêu ngày kết thúc?
Điện Biên Phủ trên không diễn ra trong mấy ngày?
Điện Biên Phủ trên không xảy ra trong bao lâu?",Diễn ra trong mười hai ngày đêm.,
,viet nam,"Ai là người sáng lập ra nước Đại Việt?
Đại Việt do ai sáng lập ra?
Đinh Bộ Lĩnh có phải là sáng lập ra nước Đại Việt?
Nước Đại Việt do ai sáng lập?
Ai là người sáng lập ra nước Đại Cồ Việt?",Đinh Bộ Lĩnh là người sáng lập ra nước Đại Cồ Việt,
,capital city,"Thủ đô nước ta là đâu?
Tôi muốn biết Thủ đô của nước Việt Nam đặt ở đâu?
Tên Thủ đô của Việt Nam là gì?",Hà Nội là thủ đô của nước Việt Nam.,
,king,"Tên vị vua trị vị lâu nhất lịch sử Đại Việt?
Lý Nhân Tông có phải là vị vua trị vị lâu nhất?
Vị vua trị vị lâu nhất Đại Việt?
Ai là vị vua trị vị lâu nhất trong lịch sử Đại Việt?",Lý Nhân Tông là vị vua trị vị lâu nhất trong lịch sử nước Đại Việt.,
,quang trung,"Nguyễn Huệ là gì với vua Quang Trung?
Quang Trung và Nguyễn Huệ quan hệ thế nào với nhau?
Quang Trung có phải là Nguyễn Huệ không?
Nguyễn Huệ có phải là vua Quang Trung không?",Quang Trung và Nguyễn Huệ là cùng một người.,
Văn Học,song,"Ai là người sáng tác ra bài thơ sóng?
Tác giả của bài thơ Sóng là ai?
Xuân Quỳnh có phải là tác giả của bài thơ Sóng?",Bài thơ Sóng do nhà thơ Xuân Quỳnh sáng tác.,
,vo nhat,"Truyện ngắn Vợ Nhặt của nhà văn nào?
Vợ Nhặt của tác giả nào?
Vợ Nhặt của nhà văn nào?
Ai là người sáng tác tác phẩm Vợ Nhặt?
Kim Lân có phải tác giả của truyện ngắn Vợ Nhặt?
Tác phẩm Vợ Nhặt do ai sáng tác?",Tác phẩm Vợ Nhặt do tác giả Kim Lân sáng tác.,
,viet bac,"Việt Bắc do ai sáng tác?
Ai là người sáng tác bài thơ Việt Bắc?
Mình về mình có nhớ ta mười lăm năm ấy thiết tha mặn nồng của nhà thơ nào?
Việt Bắc của nhà thơ nào?
Tố Hữu có phải là tác giả của bài thơ Việt Bắc?
Bài thơ Việt Bắc của ai sáng tác?",Bài thơ Việt Bắc do nhà thơ Tố Hữu sáng tác.,
,voi vang,"Vội Vàng do ai sáng tác?
Vội Vàng của nhà thơ nào?
Tôi muốn tắt nắng đi cho màu đừng nhạt mất tôi muốn buộc gió lại cho hương đừng bay đi là của nhà thơ nào?
Bài thơ Vội Vàng do ai sáng tác?",Bài thơ Vội Vàng do nhà thơ Xuân Diệu sáng tác.,
,rung xa nu,"TNú là nhân vật của tác phẩm nào và do ai sáng tác?
Ai là người sáng tác ra tác phẩm Rừng Xà Nu?
Rừng Xà Nu của tác giả nào?
Nguyễn Thành Trung có phải là tác giả tác phẩm Rừng Xà Nu không?",Tác phẩm Rừng Xà Nu do tác giả Nguyễn Trung Thành sáng tác.,
,,,"Xin lỗi, Candy chưa hiểu ý bạn.",
